flex1,flex2,flex3,flex4,flex5,x,y,z,face,SIGN
1,1,29,31,1888,298.37,58.69,0.37,0.002,Xin Chào
1,2,1,6,1889,295.62,67.06,11.06,0.002,Xin Chào
2,2,2,3,1889,318.31,57.81,-32.81,0.002,Xin Chào
1,2,40,194,1889,329.19,43.13,-46.94,0.001,Xin Chào
1,1,145,132,1888,316.19,52.75,-37.0,0.002,Xin Chào
0,1,98,360,1888,284.37,57.38,1.25,0.003,Xin Chào
2,1,81,284,1889,256.12,47.25,20.56,0.002,Xin Chào
1,0,93,77,1889,261.94,54.69,31.44,0.002,Xin Chào
1,1,38,36,1888,286.87,62.94,11.44,0.0,Xin Chào
2,1,134,59,1889,312.94,57.63,-15.75,0.001,Xin Chào
0,2,34,243,1888,334.37,47.81,-32.0,0.002,Xin Chào
0,1,85,118,1888,338.56,42.38,-32.19,0.0,Xin Chào
1,2,63,74,1888,326.75,50.5,-22.0,0.001,Xin Chào
2,1,97,14,1888,306.25,57.19,0.81,0.001,Xin Chào
1,1,129,17,1889,287.44,56.13,24.69,0.001,Xin Chào
-1,0,78,32,1889,278.69,55.94,33.69,0.003,Xin Chào
1,1,49,347,1888,284.56,60.06,27.0,0.072,Xin Chào
1,2,70,102,1889,297.06,63.44,4.81,0.118,Xin Chào
1,0,48,133,1888,312.31,59.31,-16.0,0.153,Xin Chào
1,2,32,236,1888,319.87,55.13,-30.56,0.21,Xin Chào
1,1,67,219,1888,315.44,56.44,-25.87,0.234,Xin Chào
1,0,66,238,1889,301.06,60.13,-5.31,0.222,Xin Chào
0,1,103,427,1889,287.19,58.06,17.87,0.169,Xin Chào
0,1,121,385,1889,276.37,55.06,30.69,0.145,Xin Chào
1,2,105,519,1888,274.31,52.06,29.0,0.114,Xin Chào
833,1,237,734,1889,283.25,53.13,14.19,0.067,Xin Chào
1351,1,170,544,1889,299.19,53.69,-8.19,0.028,Xin Chào
1158,22,93,485,1888,312.5,50.5,-22.19,0.011,Xin Chào
1632,267,106,445,1888,313.75,52.25,-24.0,0.03,Xin Chào
1342,199,175,476,1889,303.87,57.56,-10.88,0.011,Xin Chào
930,83,144,400,1888,287.94,58.06,14.56,0.001,Xin Chào
2,92,148,230,1888,271.12,52.44,31.81,0.001,Xin Chào
1,2,1,280,1889,272.0,57.5,32.5,0.002,Xin Chào
1,0,1,547,1888,292.87,63.75,5.25,0.001,Xin Chào
1168,1,2,326,1889,316.37,53.94,-26.62,0.001,Xin Chào
1164,1,60,83,1889,328.37,44.13,-37.0,0.001,Xin Chào
1261,1,51,297,1889,320.0,49.44,-31.87,0.003,Xin Chào
667,1,142,383,1889,301.0,58.56,-8.44,0.002,Xin Chào
2,0,294,509,1889,279.56,57.5,21.5,0.001,Xin Chào
2,1,167,621,1888,277.56,56.88,24.94,0.001,Xin Chào
1,2,3,290,1889,293.31,60.38,1.62,0.001,Xin Chào
1,2,2,102,1889,316.0,56.63,-22.06,0.0,Xin Chào
2,0,25,23,1889,323.81,47.63,-32.44,0.001,Xin Chào
1,1,54,3,1888,323.06,49.56,-28.12,0.001,Xin Chào
2,1,115,3,1888,309.44,56.63,-16.81,0.001,Xin Chào
2,1,116,13,1888,292.5,62.06,6.87,0.001,Xin Chào
0,2,76,151,1888,283.5,60.38,16.0,0.0,Xin Chào
0,0,97,158,1889,289.75,61.81,2.87,0.001,Xin Chào
1,2,107,32,1888,309.94,57.0,-20.62,0.0,Xin Chào
1255,0,240,3,1888,326.87,45.5,-34.88,0.009,Xin Chào
987,0,226,97,1889,323.37,46.88,-34.19,0.039,Xin Chào
1,2,174,95,1888,310.37,53.75,-23.12,0.002,Xin Chào
1,2,166,237,1889,292.75,60.88,-2.37,0.001,Xin Chào
2,2,147,485,1888,280.06,63.25,17.06,0.001,Xin Chào
1,0,91,374,1889,280.44,65.69,21.25,0.001,Xin Chào
-1,1,1,507,1888,294.81,69.12,10.13,0.0,Xin Chào
1,2,21,315,1889,310.44,62.38,-13.25,0.018,Xin Chào
1,1,140,490,1888,315.44,57.5,-15.81,0.01,Xin Chào
1,3,85,190,1889,304.44,51.75,-12.0,0.001,Xin Chào
