flex1,flex2,flex3,flex4,flex5,x,y,z,face,SIGN
1,1,0,2,1969,35.63,-29.94,33.0,0.002,Hẹn Hò
1,1,1,2,2033,35.38,-29.94,33.38,0.002,Hẹn Hò
1,3,1,9,1936,35.25,-29.87,33.38,0.002,Hẹn Hò
1,1,0,0,1889,34.94,-29.87,33.75,0.003,Hẹn Hò
0,1,1,1,1888,35.5,-30.44,32.38,0.002,Hẹn Hò
1,1,1,0,1889,34.31,-30.44,40.13,0.004,Hẹn Hò
0,0,1,2,1889,34.38,-30.75,46.63,0.004,Hẹn Hò
1,2,2,1,1920,41.31,-29.12,48.13,0.004,Hẹn Hò
0,3,0,2,1904,45.69,-27.62,37.5,0.003,Hẹn Hò
3,0,0,0,1889,48.19,-23.06,33.13,0.003,Hẹn Hò
1,0,1,0,1888,61.44,-12.81,33.25,0.001,Hẹn Hò
0,2,1,2,1888,77.25,-3.62,32.13,0.0,Hẹn Hò
2,1,1,12,1888,87.12,2.5,30.44,0.001,Hẹn Hò
0,2,1,11,1889,93.5,5.31,30.5,0.002,Hẹn Hò
0,1,1,126,1888,97.19,5.37,28.69,0.001,Hẹn Hò
1,1,2,163,1889,99.5,2.25,28.06,0.001,Hẹn Hò
0,2,2,157,1889,99.81,-1.75,27.0,0.002,Hẹn Hò
0,3,1,83,1889,98.94,-4.25,27.12,0.002,Hẹn Hò
1,1,0,166,1889,97.81,-5.81,26.19,0.001,Hẹn Hò
3,0,1,174,1888,97.06,-6.75,25.81,0.001,Hẹn Hò
1,2,1,77,1889,96.0,-6.81,25.19,0.0,Hẹn Hò
1,1,1,5,1888,94.87,-7.25,22.0,0.001,Hẹn Hò
0,1,0,1,1889,89.25,-12.31,20.94,0.0,Hẹn Hò
1,1,-1,2,1888,79.12,-22.56,21.37,0.001,Hẹn Hò
1,1,1,1,1888,62.56,-36.5,16.5,0.002,Hẹn Hò
1,1,2,0,1888,43.94,-41.63,19.0,0.001,Hẹn Hò
0,1,1,1,1888,29.81,-46.06,17.37,0.003,Hẹn Hò
2,0,3,194,1889,28.56,-49.69,3.69,0.002,Hẹn Hò
0,3,0,2,1904,31.19,-45.06,-1.12,0.002,Hẹn Hò
1,0,2,1,1888,29.94,-43.06,1.06,0.001,Hẹn Hò
1,1,1,1,1888,30.37,-43.13,5.0,0.002,Hẹn Hò
1,1,1,2,1888,31.06,-42.81,5.75,0.002,Hẹn Hò
1,0,1,1,1888,32.0,-42.56,6.62,0.001,Hẹn Hò
1,1,1,52,1889,33.19,-41.5,10.19,0.001,Hẹn Hò
0,1,1,72,1888,33.5,-40.44,11.0,0.001,Hẹn Hò
2,1,2,41,1889,33.44,-40.38,11.0,0.001,Hẹn Hò
0,1,1,101,1888,33.56,-40.38,11.31,0.001,Hẹn Hò
